PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,id
562,0,3,"Sivic, Mr. Husein",male,40,0,0,349251,7.8958,,S,266
277,0,3,"Lindblom, Miss. Augusta Charlotta",female,45,0,0,347073,7.75,,S,32
113,0,3,"Barton, Mr. David John",male,22,0,0,324669,8.05,,S,504
375,0,3,"Palsson, Miss. Stina Viola",female,3,3,1,349909,21.075,,S,467
813,0,2,"Slemen, Mr. Richard James",male,35,0,0,28206,10.5,,S,177
756,1,2,"Hamalainen, Master. Viljo",male,0.67,1,1,250649,14.5,,S,213
221,1,3,"Sunderland, Mr. Victor Francis",male,16,0,0,SOTON/OQ 392089,8.05,,S,413
429,0,3,"Flynn, Mr. James",male,,0,0,364851,7.75,,Q,236
549,0,3,"Goldsmith, Mr. Frank John",male,33,1,1,363291,20.525,,S,438
512,0,3,"Webber, Mr. James",male,,0,0,SOTON/OQ 3101316,8.05,,S,384
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0,113776,66.6,C2,S,618
873,0,1,"Carlsson, Mr. Frans Olof",male,33,0,0,695,5,B51 B53 B55,S,496
179,0,2,"Hale, Mr. Reginald",male,30,0,0,250653,13,,S,513
783,0,1,"Long, Mr. Milton Clyde",male,29,0,0,113501,30,D6,S,652
52,0,3,"Nosworthy, Mr. Richard Cater",male,21,0,0,A/4. 39886,7.8,,S,318
860,0,3,"Razi, Mr. Raihed",male,,0,0,2629,7.2292,,C,412
225,1,1,"Hoyt, Mr. Frederick Maxfield",male,38,1,0,19943,90,C93,S,572
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4,347088,27.9,,S,156
724,0,2,"Hodges, Mr. Henry Price",male,50,0,0,250643,13,,S,286
62,1,1,"Icard, Miss. Amelie",female,38,0,0,113572,80,B28,,27
469,0,3,"Scanlan, Mr. James",male,,0,0,36209,7.725,,Q,485
169,0,1,"Baumann, Mr. John D",male,,0,0,PC 17318,25.925,,S,662
486,0,3,"Lefebre, Miss. Jeannie",female,,3,1,4133,25.4667,,S,148
149,0,2,"Navratil, Mr. Michel (""""""""Louis M Hoffman"""""""")",male,36.5,0,2,230080,26,F2,S,456
326,1,1,"Young, Miss. Marie Grice",female,36,0,0,PC 17760,135.6333,C32,C,636
575,0,3,"Rush, Mr. Alfred George John",male,16,0,0,A/4. 20589,8.05,,S,547
651,0,3,"Mitkoff, Mr. Mito",male,,0,0,349221,7.8958,,S,49
872,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47,1,1,11751,52.5542,D35,S,267
216,1,1,"Newell, Miss. Madeleine",female,31,1,0,35273,113.275,D36,C,279
701,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18,1,0,PC 17757,227.525,C62 C64,C,451
452,0,3,"Hagland, Mr. Ingvald Olai Olsen",male,,1,0,65303,19.9667,,S,289
643,0,3,"Skoog, Miss. Margit Elizabeth",female,2,3,2,347088,27.9,,S,219
424,0,3,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28,1,1,347080,14.4,,S,135
115,0,3,"Attalah, Miss. Malake",female,17,0,0,2627,14.4583,,C,111
261,0,3,"Smith, Mr. Thomas",male,,0,0,384461,7.75,,Q,355
533,0,3,"Elias, Mr. Joseph Jr",male,17,1,1,2690,7.2292,,C,619
511,1,3,"Daly, Mr. Eugene Patrick",male,29,0,0,382651,7.75,,Q,140
626,0,1,"Sutton, Mr. Frederick",male,61,0,0,36963,32.3208,D50,S,550
